cuneichar,cuneicharAltLabel,cuneicharLabel,phoneticValues,oslIDs
http://www.wikidata.org/entity/Q87557019,"CUNEIFORM NUMERIC SIGN FIVE BAN2, U+12454",𒐃,"5(aš), 5(iku)",o0000049
http://www.wikidata.org/entity/Q87556380,"CUNEIFORM SIGN SHE HU, U+122BB, CUNEIFORM SIGN UZ",𒊻,"uz, us, uza, bazbazₓ, uṣ, uš₁₀, uzu₃",o0002714
http://www.wikidata.org/entity/Q87556361,"CUNEIFORM SIGN SHA3 TIMES GISH, U+122B1",𒊱,,o0002697
http://www.wikidata.org/entity/Q87557022,"CUNEIFORM NUMERIC SIGN FIVE BAN2 VARIANT FORM, U+12455",𒐃,"5(aš), 5(iku)",o0000050
http://www.wikidata.org/entity/Q87556302,"Ru, CUNEIFORM SIGN RU, U+12292",𒊒,"ru, ilar, gešba, gešbu, gešpa, gešpu, illar, illulu, illur, illuru, ŋešba, ŋešbu, ŋešpa, ŋešpu, šib₂, šub, sub₇, šuba₅, šup",o0000516
http://www.wikidata.org/entity/Q87556387,"CUNEIFORM SIGN SHEN, U+122BF",𒊿,"ruk, rug, zin, ruq, dur₁₀, šen, šun, rik₄, ruqu, san₂, šin, sun₆",o0002833
http://www.wikidata.org/entity/Q87555108,"CUNEIFORM SIGN ASAL2, U+12037",𒀷,asal₂~a,o0028284
http://www.wikidata.org/entity/Q87555173,"CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH, U+12057",𒁗,massa₂,o0000943
http://www.wikidata.org/entity/Q87557027,"CUNEIFORM NUMERIC SIGN ONE ESHE3, U+12458",𒑘,1(eše₃),o0000005
http://www.wikidata.org/entity/Q87555182,"CUNEIFORM SIGN DAG KISIM5 TIMES GA, U+1205B",𒁛,,o0000953
http://www.wikidata.org/entity/Q87555184,"CUNEIFORM SIGN DAG KISIM5 TIMES GA PLUS MASH, U+1205C",𒁜,"akan, massa, ubur, akani, kisim₇",o0000944
http://www.wikidata.org/entity/Q87556382,"CUNEIFORM SIGN SHE OVER SHE GAD OVER GAD GAR OVER GAR, U+122BC",𒊼,"garadin₂, karadin₂",o0002705
http://www.wikidata.org/entity/Q87555793,"CUNEIFORM SIGN KAD5, U+12193",𒆓,"peš₆, bansur₃, banšur₃, kad₅, kat₅, kid₆, piš₆, qat₈","o0000319, o0000268"
http://www.wikidata.org/entity/Q87555124,"CUNEIFORM SIGN ASHGAB, U+1203F",𒀿,"ašgab, erib, šikangu, irib, šigagu",o0000109
http://www.wikidata.org/entity/Q87557042,"CUNEIFORM NUMERIC SIGN TWO THIRDS DISH, U+1245B",𒑛,"2/3, 5/6, 2/3(diš), šanaba, šanabi, šanapi, šudaminₓ",o0002826
http://www.wikidata.org/entity/Q87556415,"CUNEIFORM SIGN SHIM TIMES LUL, U+122CF",𒋏,"šaqa₂, šaqu₂, šuquₓ",o0002756
http://www.wikidata.org/entity/Q87556412,"CUNEIFORM SIGN SHIM TIMES IGI GUNU, U+122CD",𒋍,"šembi, šimbi",o0002753
http://www.wikidata.org/entity/Q87556398,"CUNEIFORM SIGN SHID TIMES IM, U+122C5",𒋅,hubhub₂,o0002744
http://www.wikidata.org/entity/Q87555144,"CUNEIFORM SIGN BARA2, U+12048",𒁈,"parag, barag, šara, bara₂, bar₂, par₆, para₁₀, ša₂₃, šar₆",o0000121
http://www.wikidata.org/entity/Q87555218,"CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2, U+1206C",𒁬,"harub, zibin₂, hara₅, haruba, keš₉, kiši₉, kisim, šaran₂, šarin, šurin₅, šurun₅",o0000948
http://www.wikidata.org/entity/Q87555216,"CUNEIFORM SIGN DAG KISIM5 TIMES TAK4, U+1206B",𒁫,zibin,o0000965
http://www.wikidata.org/entity/Q87556414,"CUNEIFORM SIGN SHIM TIMES KUSHU2, U+122CE",𒋎,šembulugₓ,o0002755
http://www.wikidata.org/entity/Q87555828,"CUNEIFORM SIGN KID, U+121A4",𒆤,"ket, lil₂, buru₆, ge₂, gi₂, gub₅, gup₅, ke₄, ki₄, kiṭ, kub₄, kup₄, lel₂, lila₂, muru₁₂, qi₅, qid, ṣah₂, šah₃, seh₂, sih₂, ših₂, suh₄, sah, kid, git, kit, gid, qit",o0000281
http://www.wikidata.org/entity/Q87556433,"CUNEIFORM SIGN SHU2, U+122D9",𒋙,"šuš₂, ešša₂, gala₆, šu₂, šubartin, šudul, šudulu, šudun, šutul",o0002850
http://www.wikidata.org/entity/Q87555157,"CUNEIFORM SIGN BU OVER BU UN, U+1204F",𒁏,"kide, gutir",o0000931
