oslid,csign,Actual,csignLabel,validLabel(T_F),cdli_label
,http://www.wikidata.org/entity/Q123159505,𒁉×𒀸,CUNEIFORM SIGN BI TIMES ASH (𒁉 × 𒀸),,
,http://www.wikidata.org/entity/Q123159537,𒁉×𒊺,CUNEIFORM SIGN BI TIMES SHE (𒁉 × 𒊺),,
o0001383,http://www.wikidata.org/entity/Q122416691,𒄑𒉋,CUNEIFORM SIGN BIL3 (𒄑 & 𒉋),,
o0000127,http://www.wikidata.org/entity/Q124821927,𒁍@t,CUNEIFORM SIGN BU TENU (𒁍@t),,
,http://www.wikidata.org/entity/Q123300440,𒁍×𒁍×𒈿,CUNEIFORM SIGN BU TIMES BU TIMES NA2 (𒁍 × 𒁍 × 𒈿),,
o0031571,http://www.wikidata.org/entity/Q125124448,𒁍×𒂟,CUNEIFORM SIGN BU TIMES ERIN2 (𒁍 × 𒂟),,
,http://www.wikidata.org/entity/Q123155351,𒁍𒀀,CUNEIFORM SIGN BU.A (𒁍 & 𒀀),,
,http://www.wikidata.org/entity/Q123172059,𒁍𒇯,CUNEIFORM SIGN BU.DU6 (𒁍 & 𒇯),,
o0002231,http://www.wikidata.org/entity/Q120264817,𒉽𒉽,CUNEIFORM SIGN BULUG3 (𒉽 & 𒉽),,
o0000130,http://www.wikidata.org/entity/Q121502119,𒉆𒂟,CUNEIFORM SIGN BURU5 (𒉆 & 𒂟),,
o0028140,http://www.wikidata.org/entity/Q125124464,𒁕×𒄕,CUNEIFORM SIGN DA TIMES GISH TENU (𒁕 × 𒄕),,
o0031721,http://www.wikidata.org/entity/Q125124496,𒁖×𒉽,CUNEIFORM SIGN DAG TIMES PAP (𒁖 × 𒉽),,
o0001583,http://www.wikidata.org/entity/Q123172071,𒁍𒆜,CUNEIFORM SIGN DANNA (𒁍 & 𒆜),,
,http://www.wikidata.org/entity/Q123182977,𒁰×𒃸,CUNEIFORM SIGN DARA3 TIMES KAR2 (𒁰 × 𒃸),,
o0027179,http://www.wikidata.org/entity/Q125124509,𒁰×𒈠,CUNEIFORM SIGN DARA3 TIMES MA (𒁰 × 𒈠),,
,http://www.wikidata.org/entity/Q123172114,𒁰×𒊺,CUNEIFORM SIGN DARA3 TIMES SHE (𒁰 × 𒊺),,
,http://www.wikidata.org/entity/Q122808413,𒁴@g,CUNEIFORM SIGN DIM GUNU (𒁴@g),,
